seller,processed date,model_colorway,size
isellhypestuff,2025-04-28 20:40 (UTC),Cole Haan Grand Journey Navy,"13,,"
isellhypestuff,2025-04-28 20:17 (UTC),Jordan 3 Retro Tinker Black Cement,"14,,"
isellhypestuff,2025-04-28 19:53 (UTC),NIKE Waffle One Peace and UNity,"14,,"
isellhypestuff,2025-04-28 19:40 (UTC),Nike SB Force 58,"13,,"
isellhypestuff,2025-04-28 19:36 (UTC),Jordan 5 Shattered Backboard,"13,,"
dereklevengood,2025-04-28 07:12 (UTC),Aj 3 retro flip sz 13,"13,,"
toptierfunko,2025-04-28 06:38 (UTC),"NIKE AIR FORCE 1 LOW '07 LV8 ""MALACHITE PALE IVORY METALLIC GOLD"" SIZE 13M BRAND NEW","13,,"
toptierfunko,2025-04-28 06:29 (UTC),"JORDAN 1 SE (SPECIAL EDITION) ""MOCHA ELEPHANT CEMENT""  SIZE 13M BRAND NEW #3","13,,"
aasneaks,2025-04-28 05:11 (UTC),AIR JORDAN 11 CMFT LOW UNC - SIZE 6.5Y,"6.5Y,,"
401heat,2025-04-28 03:50 (UTC),(2021) Miami Nights Nike Air Force 1 Low Size 13M,"13,,"
bronxg,2025-04-28 03:14 (UTC),Keychains #2,"N/a,,"
fragmented_soles,2025-04-28 02:35 (UTC),*6 PACK* NIKE SOCKS MULTICOLOR PACK - BRAND NEW WITH TAGS #18,"6,,"
aftermarketnyc,2025-04-27 16:13 (UTC),Giannis Immortality 3,"8,,"
azkickzz,2025-04-27 10:46 (UTC),Jordan 13  lucky green,"13,,"
azkickzz,2025-04-27 10:23 (UTC),Jordan 3 Retro Cool Grey,"13,,"
azkickzz,2025-04-27 10:20 (UTC),Jordan 5 Retro DMP Raging Bull,"13,,"
azkickzz,2025-04-27 09:58 (UTC),Jordan 5 Metallic Purple,"13,,"
curtsha35316,2025-04-27 09:31 (UTC),Jordan 1 Low SE Legend Blue,"13,,"
dfwsneakerfan,2025-04-27 02:14 (UTC),SIZE 7W/5.5Y NIKE AIR FORCE 1 LOW '07 LX GORGE GREEN CROC BRAND NEW,"7W,,"
dfwsneakerfan,2025-04-27 01:56 (UTC),SIZE 13M JORDAN 1 LOW BRED TOE 2.0 BRAND NEW,"13,,"
dfwsneakerfan,2025-04-27 01:52 (UTC),SIZE 7.5W/6Y NIKE COURT LOW NN EMBER SAIL BRAND NEW,"7.5W,,"
530snkrs,2025-04-27 00:30 (UTC),Jordan 4 Retro Purple Metallic 13M (no size tag),"13,,"
coolkicks,2025-04-26 20:27 (UTC),Sneaker #30 Used Jordan 7 Retro Black Olive SZ:13M,"13,,"
nycclothing,2025-04-26 18:55 (UTC),JORDAN 11 LOW RETRO [ BLUE SNAKE SKIN ] SZ 13M WITH THE ORIGINAL BOX,"13,,"
ochypeplug,2025-04-26 05:42 (UTC),JORDAN 3 UNC USED SIZE 13,"13,,"
coolkicks,2025-04-25 23:36 (UTC),Sneaker #20 New Jordan 11 Retro Legend Blue (2014) SZ:13M (Damaged Box),"13,,"
coolkicks,2025-04-25 22:58 (UTC),10 Pack of Coolkicks IP,"N/a,,"
coolkicks,2025-04-25 22:48 (UTC),Coolkicks Shoe Cleaner #3,"N/a,,"
321soles,2025-04-25 21:19 (UTC),JORDAN 3 BLACK CEMENT (2018) SZ 14,"14,,"
woosleysshoes,2025-04-25 20:37 (UTC),SIZE 13 / FRAGMENT DUNK HIGH / NEW,"13,,"
woosleysshoes,2025-04-25 20:16 (UTC),SIZE 15 / JORDAN 1 MID LASER BLUE / USED,"15,,"
coolkicks,2025-04-25 19:42 (UTC),Adidas Adidas Gazelle Indoor Crew Yellow Gum SZ: 13M #2,"13,,"
coolkicks,2025-04-25 19:17 (UTC),Sneaker #39 Used Jordan 1 Retro High Bloodline SZ:13M,"13,,"
aasneaks,2025-04-25 18:50 (UTC),JORDAN 312 DON C HANDBALL  - SIZE 13 (CLEAN),"13,,"
grailed804,2025-04-25 15:08 (UTC),"Size 13M Jordan 9 Low Snakeskin - Preowned, Original Box","13,,"
curtsha35316,2025-04-25 07:27 (UTC),Jordan Max Aura Black Gym Red,"13,,"
curtsha35316,2025-04-25 07:22 (UTC),Nike Flight Legacy Red,"13,,"
curtsha35316,2025-04-25 07:21 (UTC),Jordan Zoom Separate,"9,,"
stewsshoes,2025-04-25 05:47 (UTC),JORDAN 11 CLOSING CEREMONY SIZE 13,"13,,"
stewsshoes,2025-04-25 05:39 (UTC),NIKE FIELD GENERAL BRAZIL SIZE 13 #2,"13,,"
stewsshoes,2025-04-25 05:28 (UTC),JORDAN HYDRO 5 RETRO SLIDE GRAPE SIZE 13,"13,,"
stewsshoes,2025-04-25 05:21 (UTC),DS City Of Cinema Nike SB Dunk Low Size 8,"8,,"
stewsshoes,2025-04-25 05:17 (UTC),NIKE KD17 EASY MONEY SNIPER SIZE 13,"13,,"
dfwsneakerfan,2025-04-25 03:06 (UTC),"SIZE 13M JORDAN B""LOYAL BRED BRAND NEW","13,,"
theshoegameco,2025-04-24 21:12 (UTC),Jordan Legacy 312 Patent Gold SZ 13,"13,,"
theshoegameco,2025-04-24 20:34 (UTC),Nike Air Tech Christmas SZ 13,"13,,"
theshoegameco,2025-04-24 20:25 (UTC),Jordan 4 Lightning SZ 13,"13,,"
jincqx,2025-04-24 20:11 (UTC),Jordan 6 Retro Infrared 13m 2018 384664-060,"13,,"
sneakcity,2025-04-24 18:33 (UTC),SIZE 13 WORLD CHAMP BLACK PURPLE AIR FORCE 1,"13W,,"
grailed804,2025-04-24 15:32 (UTC),"Size 13M Jordan 3 White Cement Reimagined - Pre Owned , Original Box","13,,"
woosleysshoes,2025-04-24 14:55 (UTC),Puma LaMelo Ball MB.03 Gutter Melo,"13,,"
